,Close Approach Date,Miss distance (Km),Velocity in Km/h
1,1901-Mar-28 19:02,17906829.928379911,36706.7864960705
2,1904-Oct-23 17:16,17076638.942380831,41039.0674905902
3,1930-Mar-28 22:52,20883528.614916077,42744.9154115815
4,1933-Oct-23 15:54,18025690.342905047,35549.6405552487
5,1963-Mar-29 13:49,17916664.791549451,36509.22143158
6,1966-Oct-24 09:57,17507942.137892337,41277.2493347586
7,1992-Mar-28 16:23,20250591.875097381,42369.0142809056
8,1995-Oct-24 10:58,17707013.908434499,35802.3163289996
9,2025-Mar-29 10:58,18198384.807571791,36111.0552721672
10,2028-Oct-24 02:09,18364772.031562104,41863.3943138348
11,2054-Mar-29 08:56,19540472.567657253,41903.7215588093
12,2057-Oct-24 06:04,17504153.302558421,36043.293990694
13,2087-Mar-30 05:30,18243879.449651314,35933.2861050806
14,2090-Oct-24 19:07,18802564.438599109,42130.6321120866
15,2116-Mar-30 02:14,18983558.772610897,41608.3738396331
16,2119-Oct-26 00:48,17325367.227585064,36267.290415643
17,2149-Mar-31 00:45,18495903.734966535,35660.6752929227
18,2152-Oct-25 12:20,19498296.963760698,42547.6414243595
19,2178-Mar-30 18:27,18320377.218063034,41170.9911238627
20,2181-Oct-25 19:56,17137570.917780968,36559.210373482
