,ID,Name,Abosulute_Magintude,Estimated Diameter,Is it potentially hazardous,Velocity in Km/h,Miss distance,Close Approach Date
1,3699902,(2014 UV210),26.9,23.4686388429,False,11540.5152244826,30347482.745042271,2025-Mar-30 21:08
2,3715466,(2015 GK),26.0,35.5212223062,False,60327.9737221334,23312095.948559977,2025-Mar-30 17:07
3,3742881,(2016 CK137),27.3,19.5203635466,False,32222.112138095,70026078.446986028,2025-Mar-30 18:57
4,3761354,(2016 UR5),26.7,25.73285078445,False,71307.5053634579,70834158.20956848,2025-Mar-30 02:06
5,3772842,(2017 FO91),25.1,53.7635455797,False,25472.9625972883,16311206.211462665,2025-Mar-30 10:09
6,3986764,(2020 BM1),25.6,42.7059022529,False,67371.891729237,59285471.323343,2025-Mar-30 15:44
7,54055061,(2020 TR1),27.1,21.40365300965,False,23648.5070873966,45082580.521085782,2025-Mar-30 18:53
8,54087767,(2020 VA4),27.43,18.3860273449,False,20288.3273869218,4443922.087879015,2025-Mar-30 15:06
9,54354663,(2023 HJ1),26.44,29.00600394435,False,30154.6699159303,16479710.170514543,2025-Mar-30 13:20
10,54482430,(2024 SP2),28.99,8.96371215045,False,18000.7552624339,26596673.334666683,2025-Mar-30 01:01
11,54492951,(2024 TV20),23.51,111.81186762915,False,39015.0257647882,63022797.552494423,2025-Mar-30 07:22
12,54497456,(2024 UY17),30.37,4.74775064765,False,22613.3098031115,56774129.633214512,2025-Mar-30 09:47
13,54522534,(2025 EJ1),23.662,104.2528416967,False,44951.0386651888,13094642.210409777,2025-Mar-30 00:59
14,54524324,(2025 FA4),26.362,30.066847974349997,False,18999.7387984095,10624341.663690486,2025-Mar-30 08:30
15,54524513,(2025 FV5),24.331,76.61043030565,False,35513.9759574501,19879182.520567147,2025-Mar-30 08:15
16,54524642,(2025 FW7),23.437,115.6346264295,False,63582.2165202635,8496775.312423237,2025-Mar-30 15:07
17,54524980,(2025 FW11),25.864,37.8170721118,False,43044.5471304791,2258932.444614396,2025-Mar-30 10:10
18,54525111,(2025 FX12),25.6,42.7059022529,False,9665.8460701178,15342097.745794365,2025-Mar-30 02:47
19,54525112,(2025 FR13),24.085,85.80012127215,False,58835.5391208074,1333393.670433394,2025-Mar-30 11:42
